system,package,node,entrypoint,time_taken,crashed,error_message,functions,statements,api_calls,unknown_api_calls,unreachable_functions,unreachable_api_calls
autorally,imu_3dm_gx4,imu_3dm_gx4,main,31.69341986,FALSE,,1,19,6,0,0,0
autorally,joy,joy_node,main,22.23698676,FALSE,,2,12,3,0,0,0
autorally,pointgrey_camera_driver,PointGreyCameraNodelet,pointgrey_camera_driver::PointGreyCameraNodelet::onInit,25.21403608,TRUE,static recovery process failed,,,,,,
autorally,pointgrey_camera_driver,PointGreyStereoCameraNodelet,pointgrey_camera_driver::PointGreyStereoCameraNodelet::onInit,25.08017583,FALSE,,1,10,2,0,0,0
autorally,pointgrey_camera_driver,pointgrey_camera_node,main,17.43052335,FALSE,,1,1,1,0,0,0
autorally,pointgrey_camera_driver,pointgrey_stereo_node,main,17.33011702,FALSE,,1,1,1,0,0,0
autorally,pointgrey_camera_driver,pointgrey_list_cameras,main,19.39333233,FALSE,,1,0,0,0,0,0
autorally,autorally_core,gpsHemisphereInterface,main,22.56918041,FALSE,,2,17,6,0,0,0
autorally,autorally_core,ocs,main,104.4222327,FALSE,,2,10,8,7,1,8
autorally,autorally_core,runStop,main,20.91594897,FALSE,,2,5,2,0,0,0
autorally,autorally_core,xbeeCoordinator,main,44.80724055,FALSE,,4,9,4,1,1,1
autorally,autorally_core,xbeeNode,main,47.58802334,FALSE,,4,11,5,1,1,1
autorally,autorally_core,ImageRepublisher,autorally_core::ImageRepublisher::onInit,24.49228514,FALSE,,1,2,0,0,0,0
autorally,autorally_core,StateEstimator,main,75.87975938,FALSE,,2,46,9,0,0,0
autorally,autorally_core,AutoRallyChassis,autorally_core::AutoRallyChassis::onInit,22.37863741,FALSE,,3,14,5,1,0,0
autorally,autorally_core,CameraTrigger,autorally_core::CameraTrigger::onInit,22.56770926,FALSE,,1,1,0,0,0,0
autorally,autorally_core,CameraAutoBalancePtGrey,autorally_core::CameraAutoBalancePtGrey::onInit,24.14596211,FALSE,,1,0,0,0,0,0
autorally,autorally_core,CameraAutoBalanceFLIR,autorally_core::CameraAutoBalanceFLIR::onInit,22.38415372,FALSE,,1,0,0,0,0,0
autorally,autorally_core,WheelOdometry,main,16.61296144,FALSE,,2,11,5,0,0,0
autorally,autorally_control,ConstantSpeedController,autorally_control::ConstantSpeedController::onInit,23.10754388,FALSE,,3,16,3,0,1,0
autorally,autorally_control,joystickController,main,23.74667843,FALSE,,2,13,4,0,0,0
autorally,autorally_control,gpsWaypoint,main,25.36090357,FALSE,,2,10,6,0,0,0
autorally,autorally_control,path_integral_bf,main,91.86791198,FALSE,,1,0,0,0,0,0
autorally,autorally_control,path_integral_nn,main,84.88132781,FALSE,,1,0,0,0,0,0
autorally,autorally_control,path_integral_monitor,main,16.80121266,FALSE,,2,3,2,0,0,0
autorally,effort_controllers,simple_bot_hw,main,20.34670074,FALSE,,1,3,3,0,0,0