Subject,Node,Case,Kind,# observed,# recovered,# obs ! rec,# rec ! obs,over_approx,under_approx,# errs observed,# errors recovered,overlap matches,#handwritten,#recovered,# placeholders
,,,,,,,,,,,,,,,
AutoRally,/joy_node,recovered,Publishers,1,1,0,0,0,0,6,8,FALSE,8,4,0
AutoRally,/joy_node,recovered,Subscribers,1,1,0,0,0,0,,,,,,
AutoRally,/joy_node,recovered,Providers,0,0,0,0,NaN,NaN,,,,,,
AutoRally,/joy_node,recovered,Action Clients,0,0,0,0,NaN,NaN,,,,,,
AutoRally,/joy_node,recovered,Action Servers,0,0,0,0,NaN,NaN,,,,,,
AutoRally,/autorally_core_manager,recovered,Publishers,1,1,0,0,0,0,,,,,,
AutoRally,/autorally_core_manager,recovered,Subscribers,2,2,0,0,0,0,,,,,,
AutoRally,/autorally_core_manager,recovered,Providers,0,0,0,0,NaN,NaN,,,,,,
AutoRally,/autorally_core_manager,recovered,Action Clients,0,0,0,0,NaN,NaN,,,,,,
AutoRally,/autorally_core_manager,recovered,Action Servers,0,0,0,0,NaN,NaN,,,,,,
AutoRally,/waypointFollower,recovered,Publishers,3,3,0,0,0,0,,,,,,
AutoRally,/waypointFollower,recovered,Subscribers,2,2,0,0,0,0,,,,,,
AutoRally,/waypointFollower,recovered,Providers,0,0,0,0,NaN,NaN,,,,,,
AutoRally,/waypointFollower,recovered,Action Clients,0,0,0,0,NaN,NaN,,,,,,
AutoRally,/waypointFollower,recovered,Action Servers,0,0,0,0,NaN,NaN,,,,,,
AutoRally,/ConstantSpeedController,recovered,Publishers,1,1,0,0,NaN,NaN,,,,,,
AutoRally,/ConstantSpeedController,recovered,Subscribers,2,2,0,0,NaN,NaN,,,,,,
AutoRally,/ConstantSpeedController,recovered,Providers,0,0,0,0,NaN,NaN,,,,,,
AutoRally,/ConstantSpeedController,recovered,Action Clients,0,0,0,0,NaN,NaN,,,,,,
AutoRally,/ConstantSpeedController,recovered,Action Servers,0,0,0,0,NaN,NaN,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Husky,/map_server,recovered,Publishers,2,2,0,0,0,0,2,5,FALSE,8,4,0
Husky,/map_server,recovered,Subscribers,0,0,0,0,NaN,NaN,,,,,,
Husky,/map_server,recovered,Providers,1,1,0,0,0,0,,,,,,
Husky,/map_server,recovered,Action Clients,0,0,0,0,NaN,NaN,,,,,,
Husky,/map_server,recovered,Action Servers,0,0,0,0,NaN,NaN,,,,,,
Husky,/amcl,recovered,Publishers,2,3,0,1,0.5,0,,,,,,
Husky,/amcl,recovered,Subscribers,3,3,0,0,0,0,,,,,,
Husky,/amcl,recovered,Providers,3,3,0,0,0,0,,,,,,
Husky,/amcl,recovered,Action Clients,0,0,0,0,NaN,NaN,,,,,,
Husky,/amcl,recovered,Action Servers,0,0,0,0,NaN,NaN,,,,,,
Husky,/joy_teleop/teleop_twist_joy,recovered,Publishers,1,1,0,0,0,0,,,,,,
Husky,/joy_teleop/teleop_twist_joy,recovered,Subscribers,1,1,0,0,0,0,,,,,,
Husky,/joy_teleop/teleop_twist_joy,recovered,Providers,0,0,0,0,NaN,NaN,,,,,,
Husky,/joy_teleop/teleop_twist_joy,recovered,Action Clients,0,0,0,0,NaN,NaN,,,,,,
Husky,/joy_teleop/teleop_twist_joy,recovered,Action Servers,0,0,0,0,NaN,NaN,,,,,,
Husky,/twist_marker_server,recovered,Publishers,3,1,2,0,0,0.6666666667,,,,,,
Husky,/twist_marker_server,recovered,Subscribers,1,0,1,0,0,1,,,,,,
Husky,/twist_marker_server,recovered,Providers,0,0,0,0,NaN,NaN,,,,,,
Husky,/twist_marker_server,recovered,Action Clients,0,0,0,0,NaN,NaN,,,,,,
Husky,/twist_marker_server,recovered,Action Servers,0,0,0,0,NaN,NaN,,,,,,
Husky,/joy_teleop/joy_node,recovered,Publishers,1,1,0,0,0,0,,,,,,
Husky,/joy_teleop/joy_node,recovered,Subscribers,1,1,0,0,0,0,,,,,,
Husky,/joy_teleop/joy_node,recovered,Providers,0,0,0,0,NaN,NaN,,,,,,
Husky,/joy_teleop/joy_node,recovered,Action Clients,0,0,0,0,NaN,NaN,,,,,,
Husky,/joy_teleop/joy_node,recovered,Action Servers,0,0,0,0,NaN,NaN,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
TurtleBot,/bumper2pointcloud,recovered,Publishers,1,1,0,0,NaN,NaN,2,2,TRUE,8,4,0
TurtleBot,/bumper2pointcloud,recovered,Subscribers,1,1,0,0,NaN,NaN,,,,,,
TurtleBot,/bumper2pointcloud,recovered,Providers,0,0,0,0,NaN,NaN,,,,,,
TurtleBot,/bumper2pointcloud,recovered,Action Clients,0,0,0,0,NaN,NaN,,,,,,
TurtleBot,/bumper2pointcloud,recovered,Action Servers,0,0,0,0,NaN,NaN,,,,,,
TurtleBot,/depthimage_to_laserscan,recovered,Publishers,0,0,0,0,NaN,NaN,,,,,,
TurtleBot,/depthimage_to_laserscan,recovered,Subscribers,0,0,0,0,NaN,NaN,,,,,,
TurtleBot,/depthimage_to_laserscan,recovered,Providers,0,0,0,0,NaN,NaN,,,,,,
TurtleBot,/depthimage_to_laserscan,recovered,Action Clients,0,0,0,0,NaN,NaN,,,,,,
TurtleBot,/depthimage_to_laserscan,recovered,Action Servers,0,0,0,0,NaN,NaN,,,,,,
TurtleBot,/map_server,recovered,Publishers,2,2,0,0,0,0,,,,,,
TurtleBot,/map_server,recovered,Subscribers,0,0,0,0,NaN,NaN,,,,,,
TurtleBot,/map_server,recovered,Providers,1,1,0,0,0,0,,,,,,
TurtleBot,/map_server,recovered,Action Clients,0,0,0,0,NaN,NaN,,,,,,
TurtleBot,/map_server,recovered,Action Servers,0,0,0,0,NaN,NaN,,,,,,
TurtleBot,/amcl,recovered,Publishers,2,3,0,1,0.5,0,,,,,,
TurtleBot,/amcl,recovered,Subscribers,2,2,1,1,0.5,0.5,,,,,,
TurtleBot,/amcl,recovered,Providers,3,3,0,0,0,0,,,,,,
TurtleBot,/amcl,recovered,Action Clients,0,0,0,0,NaN,NaN,,,,,,
TurtleBot,/amcl,recovered,Action Servers,0,0,0,0,NaN,NaN,,,,,,